Installation_ID,Installation_Name,Source_Installation_String,Location,Portfolio_ID,MAJCOM,Component,EOM_Folder_URL,Generation_Enabled,Registry_Validated_By,Registry_Validated_Date,Source_System,Needs_Review_Flag,DODAAC,DODAAD,Org_Box_Email,Official_POC_UPN,Active_Flag
KLEINE_BROGEL_AB,KLEINE BROGEL AB,KLEINE BROGEL AB,BELGIUM,PORTFOLIO 4,USAFE,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
KUNSAN_AB,KUNSAN AB,KUNSAN AB,KOREA,PORTFOLIO 1,PACAF,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
JB_LANGLEY,JB LANGLEY,"LANGLEY, JB",VIRGINIA (VA),PORTFOLIO 4,ACC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
LITTLE_ROCK_AFB,LITTLE ROCK AFB,LITTLE ROCK AFB,ARKANSAS (AR),PORTFOLIO 2,AMC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
LUKE_AFB,LUKE AFB,LUKE AFB,ARIZONA (AZ),PORTFOLIO 1,AETC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
MACDILL_AFB,MACDILL AFB,MACDILL AFB,FLORIDA (FL),PORTFOLIO 4,AMC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
MALMSTROM_AFB,MALMSTROM AFB,MALMSTROM AFB (2.0);MALMSTROM AFB (MAF),MONTANA (MT),PORTFOLIO 3,AFGSC,Active,,FALSE,,,Mission Feeding QRG,TRUE,,,,,TRUE
MAXWELL_AFB,MAXWELL AFB,MAXWELL AFB,ALABAMA (AL),PORTFOLIO 4,AETC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
JBL_MCCHORD,JBL MCCHORD,"MCCHORD, JBL",WASHINGTON (WA),PORTFOLIO 1,AMC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
MCCONNELL_AFB,MCCONNELL AFB,MCCONNELL AFB,KANSAS (KS),PORTFOLIO 3,AMC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
JB_MCGUIRE,JB MCGUIRE,"MCGUIRE, JB",NEW JERSEY (NJ),PORTFOLIO 4,AMC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
MILDENHALL_AB,MILDENHALL AB,MILDENHALL AB,UNITED KINGDOM (UK),PORTFOLIO 4,USAFE,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
MINOT_AFB,MINOT AFB,MINOT AFB (2.0);MINOT AFB (MAF),NORTH DAKOTA (ND),PORTFOLIO 3,AFGSC,Active,,FALSE,,,Mission Feeding QRG,TRUE,,,,,TRUE
MISAWA_AB,MISAWA AB,MISAWA AB,JAPAN,PORTFOLIO 1,PACAF,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
MOODY_AFB,MOODY AFB,MOODY AFB,GEORGIA (GA),PORTFOLIO 4,ACC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
MORON_AB,MORON AB,MORON AB,SPAIN,PORTFOLIO 4,USAFE,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
MOUNTAIN_HOME_AFB,MOUNTAIN HOME AFB,MOUNTAIN HOME AFB,IDAHO (ID),PORTFOLIO 3,ACC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
NELLIS_AFB,NELLIS AFB,NELLIS AFB,NEVADA (NV),PORTFOLIO 1,ACC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
OFFUTT_AFB,OFFUTT AFB,OFFUTT AFB,NEBRASKA (NE),PORTFOLIO 3,ACC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
OSAN_AB,OSAN AB,OSAN AB,KOREA,PORTFOLIO 1,PACAF,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
PATRICK_SFB,PATRICK SFB,PATRICK SFB,FLORIDA (FL),PORTFOLIO 4,USSF,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
RAF_LAKENHEATH,RAF LAKENHEATH,RAF LAKENHEATH,UNITED KINGDOM (UK),PORTFOLIO 4,USAFE,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
RAMSTEIN_AB,RAMSTEIN AB,RAMSTEIN AB,GERMANY,PORTFOLIO 4,USAFE,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
ROBINS_AFB,ROBINS AFB,ROBINS AFB,GEORGIA (GA),PORTFOLIO 4,AFRC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
SCHRIEVER_SFB,SCHRIEVER SFB,SCHRIEVER SFB,COLORADO (CO),PORTFOLIO 3,USSF,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
SCOTT_AFB,SCOTT AFB,SCOTT AFB,ILLINOIS (IL),PORTFOLIO 3,AMC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
SEYMOUR_AFB,SEYMOUR AFB,SEYMOUR AFB,NORTH CAROLINA (NC),PORTFOLIO 4,ACC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
SHAW_AFB,SHAW AFB,SHAW AFB,SOUTH CAROLINA (SC),PORTFOLIO 4,ACC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
SHEPPARD_AFB,SHEPPARD AFB,SHEPPARD AFB,TEXAS (TX),PORTFOLIO 2,AETC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
SPANGDAHLEM_AB,SPANGDAHLEM AB,SPANGDAHLEM AB,GERMANY,PORTFOLIO 4,USAFE,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
TINKER_AFB,TINKER AFB,TINKER AFB,OKLAHOMA (OK),PORTFOLIO 2,AFMC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
TRAVIS_AFB,TRAVIS AFB,TRAVIS AFB,CALIFORNIA (CA),PORTFOLIO 1,AMC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
TYNDALL_AFB,TYNDALL AFB,TYNDALL AFB,FLORIDA (FL),PORTFOLIO 4,ACC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
USAF_ACADEMY,USAF ACADEMY,USAF ACADEMY,COLORADO (CO),PORTFOLIO 3,USAFA,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
VANDENBERG,VANDENBERG,VANDENBERG,CALIFORNIA (CA),PORTFOLIO 1,USSF,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
VOLKEL_AB,VOLKEL AB,VOLKEL AB,NETHERLANDS,PORTFOLIO 4,USAFE,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
WHITEMAN_AFB,WHITEMAN AFB,WHITEMAN AFB,MISSOURI (MO),PORTFOLIO 3,AFGSC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
WRIGHT_PATTERSON_AFB,WRIGHT PATTERSON AFB,WRIGHT PATTERSON AFB,OHIO (OH),PORTFOLIO 3,AFMC,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
YOKOTA_AB,YOKOTA AB,YOKOTA AB,JAPAN,PORTFOLIO 1,PACAF,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
AL_DHAFRA_AB_ADAB,AL DHAFRA AB (ADAB),AL DHAFRA AB (ADAB),UNITED ARAB EMIRATES,PORTFOLIO 4,AFCENT,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
AL_UDEID_AB_AUAB,AL UDEID AB (AUAB),AL UDEID AB (AUAB),QATAR,PORTFOLIO 4,AFCENT,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
ALI_AL_SALEM_AB_AASAB,ALI AL SALEM AB (AASAB),ALI AL SALEM AB (AASAB),KUWAIT,PORTFOLIO 4,AFCENT,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
CAMP_SIMBA,CAMP SIMBA,CAMP SIMBA,KENYA,PORTFOLIO 4,AFAFRICA,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
MUWAFFAQ_SALTI_AB_MSAB,MUWAFFAQ SALTI AB (MSAB),MUWAFFAQ SALTI AB (MSAB),JORDAN,PORTFOLIO 4,AFCENT,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
PRINCE_SULTAN_AB_PSAB,PRINCE SULTAN AB (PSAB),PRINCE SULTAN AB (PSAB),SAUDI ARABIA,PORTFOLIO 4,AFCENT,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
AL_JABER_AB,AL JABER AB,AL JABER AB,JORDAN,PORTFOLIO 4,AFCENT,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
AB101_NIAMEY,AB101 NIAMEY,AB101 NIAMEY,NIGER,PORTFOLIO 4,AFAFRICA,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
AB201_AGADEZ,AB201 AGADEZ,AB201 AGADEZ,NIGER,PORTFOLIO 4,AFAFRICA,Active,,FALSE,,,Mission Feeding QRG,FALSE,,,,,TRUE
ARNOLD_AFB,ARNOLD AFB,ARNOLD AFB,TENNESSEE (TN),,AFMC,Active,,FALSE,,,Mission Feeding QRG,TRUE,,,,,TRUE
BOLLING_AFB,BOLLING AFB,BOLLING AFB,MARYLAND (MD),,AFDW,Active,,FALSE,,,Mission Feeding QRG,TRUE,,,,,TRUE
BUCKLEY_SFB,BUCKLEY SFB,BUCKLEY SFB,COLORADO (CO),,USSF,Active,,FALSE,,,Mission Feeding QRG,TRUE,,,,,TRUE
CAPE_CANAVERAL_SFS,CAPE CANAVERAL SFS,CAPE CANAVERAL SFS,FLORIDA (FL),,USSF,Active,,FALSE,,,Mission Feeding QRG,TRUE,,,,,TRUE
CAPE_COD_SFS,CAPE COD SFS,CAPE COD SFS,MASSACHUSETTS (MA),,USSF,Active,,FALSE,,,Mission Feeding QRG,TRUE,,,,,TRUE
CAVALIER_SFS,CAVALIER SFS,CAVALIER SFS,NORTH DAKOTA (ND),,USSF,Active,,FALSE,,,Mission Feeding QRG,TRUE,,,,,TRUE
CHEYENNE_MOUNTAIN_SFB,CHEYENNE MOUNTAIN SFB,CHEYENNE MOUNTAIN SFB,COLORADO (CO),,USSF,Active,,FALSE,,,Mission Feeding QRG,TRUE,,,,,TRUE
COLUMBUS_AFB,COLUMBUS AFB,COLUMBUS AFB,MISSISSIPPI (MS),,AETC,Active,,FALSE,,,Mission Feeding QRG,TRUE,,,,,TRUE
EARECKSON_AFS,EARECKSON AFS,EARECKSON AFS,ALASKA (AK),,PACAF,Active,,FALSE,,,Mission Feeding QRG,TRUE,,,,,TRUE
HANSCOM_AFB,HANSCOM AFB,HANSCOM AFB,MASSACHUSETTS (MA),,AFMC,Active,,FALSE,,,Mission Feeding QRG,TRUE,,,,,TRUE
IZMIR_AB,IZMIR AB,IZMIR AB,TURKEY,,USAFE,Active,,FALSE,,,Mission Feeding QRG,TRUE,,,,,TRUE
LAJES_FIELD,LAJES FIELD,LAJES FIELD,PORTUGAL,,USAFE,Active,,FALSE,,,Mission Feeding QRG,TRUE,,,,,TRUE
LAUGHLIN_AFB,LAUGHLIN AFB,LAUGHLIN AFB,TEXAS (TX),,AETC,Active,,FALSE,,,Mission Feeding QRG,TRUE,,,,,TRUE
LOS_ANGELES_AFB,LOS ANGELES AFB,LOS ANGELES AFB,CALIFORNIA (CA),,USSF,Active,,FALSE,,,Mission Feeding QRG,TRUE,,,,,TRUE
NEW_BOSTON_SFS,NEW BOSTON SFS,NEW BOSTON SFS,NEW HAMPSHIRE (NH),,USSF,Active,,FALSE,,,Mission Feeding QRG,TRUE,,,,,TRUE
RAF_FYLINGDALES_SFS,RAF FYLINGDALES SFS,RAF FYLINGDALES SFS,UNITED KINGDOM (UK),,USAFE,Active,,FALSE,,,Mission Feeding QRG,TRUE,,,,,TRUE
RAF_MOLESWORTH,RAF MOLESWORTH,RAF MOLESWORTH,UNITED KINGDOM (UK),,USAFE,Active,,FALSE,,,Mission Feeding QRG,TRUE,,,,,TRUE
VANCE_AFB,VANCE AFB,VANCE AFB,OKLAHOMA (OK),,AETC,Active,,FALSE,,,Mission Feeding QRG,TRUE,,,,,TRUE
PITUFFIK_SB,PITUFFIK SB,PITUFFIK SB,GREENLAND,,USSF,Active,,FALSE,,,Mission Feeding QRG,TRUE,,,,,TRUE
JBAB_ANACOSTIA,JBAB - ANACOSTIA,JBAB - ANACOSTIA,DISTRICT OF COLUMBIA (DC),,AFDW,Active,,FALSE,,,Mission Feeding QRG,TRUE,,,,,TRUE
