List,Display_Title,Grain,Column,Type,Required,Indexed,Choices,Column_Note,List_Note
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Scope_Confidence,Choice,Y,N,High; Medium; Low; Proposed,SEPARATE from Authority_Status. A source can confirm a document exists without saying at what grain it is filed. Conflating the two marks a guess as policy.,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Scope_Basis,Text,N,N,,Why this grain. 'SAIIT is written around DFAC/storeroom management' is a reason; 'seems right' is not.,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Sort_Order,Number,N,N,,,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Requirement,MF EOM Requirement,One row per document requirement per operating model,Active_Flag,Boolean,Y,N,,,"THE requirement engine. The app queries this; it contains no 'if Legacy then require 1119' logic. Changing a requirement next year is a list edit, not an app rebuild. The drop boxes on the installation screen ARE this list, filtered."
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,EOM_Item_ID,Text,Y,Y,,,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,EOM_Item_Key,Text,Y,Y,,Human-readable compound key: LACKLAND|BLDG1234|2026-10|1119. Drives duplicate prevention and flow idempotency.,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Portfolio_ID,Text,Y,Y,,"Denormalized. The portfolio filter is the first server-side filter on every query, so it must be on the row.",Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Installation_ID,Text,Y,Y,,,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Facility_ID,Text,N,Y,,NULLABLE. Null for Installation-scope and Contract-scope rows.,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Contract_ID,Text,N,N,,NULLABLE. Set for Contract-scope rows.,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Reporting_Period,Text,Y,Y,,YYYY-MM,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Requirement_ID,Text,Y,Y,,,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Requirement_Scope,Choice,Y,N,Facility; Installation; Contract,Denormalized from the requirement so the app can filter without a join,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Required_Flag,Boolean,Y,N,,,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Nominal_Due_Date,DateTime,Y,N,,The policy date. Leadership and reporting see this — 'the 5th' stays the 5th.,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Effective_Due_Date,DateTime,Y,Y,,"The actionable date after NonDutyDay_Policy. Users are held to this. Status evaluation uses this, never the nominal date.",Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Nominal_Final_Call_Date,DateTime,Y,N,,,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Effective_Final_Call_Date,DateTime,Y,Y,,,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Due_Date_Adjusted,Boolean,Y,N,,TRUE when the two differ. The package screen shows 'Due 5 Sep (Mon 7 Sep)' so nobody argues about a Saturday suspense.,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Initial_Submitted_DateTime,DateTime,N,N,,"When the FIRST version arrived, whatever became of it",Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Initial_Submission_On_Time,Boolean,N,N,,Did any version arrive by Effective_Due_Date. 'Did the base do its job on time.',Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Current_Acceptable_Evidence_DateTime,DateTime,N,N,,When an ACCEPTED version came into existence,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Final_Evidence_On_Time,Boolean,N,N,,"Was acceptable evidence in hand by Effective_Final_Call_Date. 'Did AFSVC have usable evidence on time.' Different question, different answer, both stored — and both translated to plain English in the UI, never shown as bare booleans.",Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Current_Submission_ID,Text,N,N,,Points at the Is_Current submission. Null until the first upload.,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Received_Flag,Boolean,Y,N,,,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Final_Status,Choice,Y,N,NOT_APPLICABLE; NOT_DUE; PENDING_VALIDATION; OVERDUE; NOT_SATISFIED; CORRECTION_REQUIRED; RECEIVED_PENDING_QC; ACCEPTED,"Semantic status. CALCULATED by EOM-03, never user-selectable. Independent of Status_Code — never derive one from the other.",Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Action_Owner,Choice,Y,N,Facility; Reviewer; Admin; None,Status_Code alone cannot answer 'is this mine'. Amber covers both correction needed (facility) and awaiting review (AFSVC). Home filters on this.,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Action_Required,Boolean,Y,N,,,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Status_Code,Number,Y,Y,,"VISUAL code only. 0 Gray not-applicable, 1 Red overdue, 2 Amber pending, 3 Green accepted, 4 Blue not-due/informational. Five states, not four: collapsing 'not applicable' and 'not due yet' into Gray made an installation whose requirements had simply not come due read as Not Applicable.",Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Exception_Flag,Boolean,Y,N,,Set when the item needs human attention beyond normal QC,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Correction_Due,DateTime,N,N,,Set when QC returns a correction,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Waived_Flag,Boolean,N,N,,Portfolio Manager may waive a requirement for a period,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Item,MF EOM Item,One PERSISTENT row per expected submission per reporting period,Waiver_Reason,Note,N,N,,,Generated by flow EOM-01. This row is created once and never duplicated. Corrections attach as new MF_EOM_Submission versions pointing at the same item. Facility_ID is NULL for Installation and Contract scope.
MF_EOM_Submission,MF EOM Submission,One row per uploaded file version,Submission_ID,Text,Y,Y,,,Versioned evidence. v1 Correction Required and v2 Accepted both persist; nothing is overwritten or deleted. QC applies to the Is_Current version.
MF_EOM_Submission,MF EOM Submission,One row per uploaded file version,EOM_Item_ID,Text,Y,Y,,,Versioned evidence. v1 Correction Required and v2 Accepted both persist; nothing is overwritten or deleted. QC applies to the Is_Current version.
MF_EOM_Submission,MF EOM Submission,One row per uploaded file version,Version_No,Number,Y,N,,Assigned by upload timestamp order,Versioned evidence. v1 Correction Required and v2 Accepted both persist; nothing is overwritten or deleted. QC applies to the Is_Current version.
MF_EOM_Submission,MF EOM Submission,One row per uploaded file version,File_Name,Text,Y,N,,As uploaded. No naming convention required.,Versioned evidence. v1 Correction Required and v2 Accepted both persist; nothing is overwritten or deleted. QC applies to the Is_Current version.
MF_EOM_Submission,MF EOM Submission,One row per uploaded file version,File_URL,URL,Y,N,,"THE LIST ROW IS TRUTH, THE PATH IS CONVENIENCE. Never derive status from the path — files get moved and renamed.",Versioned evidence. v1 Correction Required and v2 Accepted both persist; nothing is overwritten or deleted. QC applies to the Is_Current version.
MF_EOM_Submission,MF EOM Submission,One row per uploaded file version,File_Size_KB,Number,N,N,,,Versioned evidence. v1 Correction Required and v2 Accepted both persist; nothing is overwritten or deleted. QC applies to the Is_Current version.
MF_EOM_Submission,MF EOM Submission,One row per uploaded file version,Uploaded_By,User,Y,N,,SharePoint identity of the actual uploader,Versioned evidence. v1 Correction Required and v2 Accepted both persist; nothing is overwritten or deleted. QC applies to the Is_Current version.
MF_EOM_Submission,MF EOM Submission,One row per uploaded file version,Uploaded_DateTime,DateTime,Y,Y,,,Versioned evidence. v1 Correction Required and v2 Accepted both persist; nothing is overwritten or deleted. QC applies to the Is_Current version.
MF_EOM_Submission,MF EOM Submission,One row per uploaded file version,Submitted_On_Behalf_Of,Text,N,N,,"Facility_ID or Installation_ID when an AFSVC MFM uploads a document that arrived by email. Without this, emailed submissions misattribute to AFSVC and the missing/overdue counts go wrong silently.",Versioned evidence. v1 Correction Required and v2 Accepted both persist; nothing is overwritten or deleted. QC applies to the Is_Current version.
MF_EOM_Submission,MF EOM Submission,One row per uploaded file version,Intake_Method,Choice,Y,N,App upload; Folder drop; Manual classification,App upload needs no classification. Folder drop may.,Versioned evidence. v1 Correction Required and v2 Accepted both persist; nothing is overwritten or deleted. QC applies to the Is_Current version.
MF_EOM_Submission,MF EOM Submission,One row per uploaded file version,Classification_Method,Choice,N,N,Declared at upload; Folder context; Document content; AI Builder; Manual,'Declared at upload' is the production baseline. Filename is NEVER a method.,Versioned evidence. v1 Correction Required and v2 Accepted both persist; nothing is overwritten or deleted. QC applies to the Is_Current version.
MF_EOM_Submission,MF EOM Submission,One row per uploaded file version,Classification_Status,Choice,N,N,Pending; Classified; Needs Review; Failed,,Versioned evidence. v1 Correction Required and v2 Accepted both persist; nothing is overwritten or deleted. QC applies to the Is_Current version.
MF_EOM_Submission,MF EOM Submission,One row per uploaded file version,Last_Error_Code,Text,N,N,,,Versioned evidence. v1 Correction Required and v2 Accepted both persist; nothing is overwritten or deleted. QC applies to the Is_Current version.
MF_EOM_Submission,MF EOM Submission,One row per uploaded file version,Last_Error_Message,Note,N,N,,"User-facing, plain language. Never a raw HTTP status.",Versioned evidence. v1 Correction Required and v2 Accepted both persist; nothing is overwritten or deleted. QC applies to the Is_Current version.
MF_EOM_Submission,MF EOM Submission,One row per uploaded file version,Last_Processing_DateTime,DateTime,N,N,,,Versioned evidence. v1 Correction Required and v2 Accepted both persist; nothing is overwritten or deleted. QC applies to the Is_Current version.
MF_EOM_Submission,MF EOM Submission,One row per uploaded file version,Retry_Count,Number,N,N,,,Versioned evidence. v1 Correction Required and v2 Accepted both persist; nothing is overwritten or deleted. QC applies to the Is_Current version.
MF_EOM_Submission,MF EOM Submission,One row per uploaded file version,Source_Path,Text,N,N,,Where the file was found. Diagnostic only — the list row is truth.,Versioned evidence. v1 Correction Required and v2 Accepted both persist; nothing is overwritten or deleted. QC applies to the Is_Current version.
MF_EOM_Submission,MF EOM Submission,One row per uploaded file version,SharePoint_File_ID,Text,N,N,,List item ID within the library. Survives a rename; the URL does not.,Versioned evidence. v1 Correction Required and v2 Accepted both persist; nothing is overwritten or deleted. QC applies to the Is_Current version.
MF_EOM_Submission,MF EOM Submission,One row per uploaded file version,SharePoint_Unique_ID,Text,N,N,,The GUID. Survives a rename AND a move. This is the durable handle — resolve the URL from it rather than storing the URL as truth.,Versioned evidence. v1 Correction Required and v2 Accepted both persist; nothing is overwritten or deleted. QC applies to the Is_Current version.
MF_EOM_Submission,MF EOM Submission,One row per uploaded file version,Destination_ID,Text,N,N,,FK to MF_Document_Destination — which configured destination received this file,Versioned evidence. v1 Correction Required and v2 Accepted both persist; nothing is overwritten or deleted. QC applies to the Is_Current version.
MF_EOM_Submission,MF EOM Submission,One row per uploaded file version,Source_Library,Text,N,N,,Library the file landed in,Versioned evidence. v1 Correction Required and v2 Accepted both persist; nothing is overwritten or deleted. QC applies to the Is_Current version.
MF_EOM_Submission,MF EOM Submission,One row per uploaded file version,Classification_Confidence,Choice,N,N,Declared; High; Low; Unresolved,'Declared' = the app captured it at upload. That is the whole point of making the app the front door.,Versioned evidence. v1 Correction Required and v2 Accepted both persist; nothing is overwritten or deleted. QC applies to the Is_Current version.
MF_EOM_Submission,MF EOM Submission,One row per uploaded file version,Is_Current,Boolean,Y,N,,,Versioned evidence. v1 Correction Required and v2 Accepted both persist; nothing is overwritten or deleted. QC applies to the Is_Current version.
MF_EOM_Submission,MF EOM Submission,One row per uploaded file version,Superseded_By,Text,N,N,,Submission_ID of the version that replaced this one,Versioned evidence. v1 Correction Required and v2 Accepted both persist; nothing is overwritten or deleted. QC applies to the Is_Current version.
MF_EOM_Submission,MF EOM Submission,One row per uploaded file version,QC_Status,Choice,Y,N,Pending Review; Accepted; Correction Required; Incomplete; Wrong Document; Wrong Reporting Period; Wrong Facility; Recalled; Not Applicable,"Reviewers open the file in Teams and verify content, so the verdict has to say WHY. The base sees the specific reason on their dashboard, not a generic return.",Versioned evidence. v1 Correction Required and v2 Accepted both persist; nothing is overwritten or deleted. QC applies to the Is_Current version.
MF_EOM_Submission,MF EOM Submission,One row per uploaded file version,QC_By,User,N,N,,,Versioned evidence. v1 Correction Required and v2 Accepted both persist; nothing is overwritten or deleted. QC applies to the Is_Current version.
MF_EOM_Submission,MF EOM Submission,One row per uploaded file version,QC_DateTime,DateTime,N,N,,,Versioned evidence. v1 Correction Required and v2 Accepted both persist; nothing is overwritten or deleted. QC applies to the Is_Current version.
MF_EOM_Submission,MF EOM Submission,One row per uploaded file version,QC_Comment,Note,N,N,,REQUIRED when QC_Status is Correction Required or Wrong Document,Versioned evidence. v1 Correction Required and v2 Accepted both persist; nothing is overwritten or deleted. QC applies to the Is_Current version.
MF_Unmatched_File,MF Unmatched File,One row per file found in the FY folder that could not be resolved,Unmatched_ID,Text,Y,Y,,,The safety net for folder drops. Should be near-empty once people use the app. No content parsing or AI Builder in MVP — a human picks from dropdowns.
